legalEntityIdentifier;lastPublicUpdate;status;assignmentDate;renewalDate;expirationDate;expirationReason;successorLei;successorName;registeredName;legalEntityStatus;businessRegisterCode;businessRegistryIdentifier;legalForm;legalRegistrationAddress.firstAddressLine;legalRegistrationAddress.additionalAddressLine1;legalRegistrationAddress.additionalAddressLine2;legalRegistrationAddress.additionalAddressLine3;legalRegistrationAddress.city;legalRegistrationAddress.postalCode;legalRegistrationAddress.region;legalRegistrationAddress.country;headquartersAddress.firstAddressLine;headquartersAddress.additionalAddressLine1;headquartersAddress.additionalAddressLine2;headquartersAddress.additionalAddressLine3;headquartersAddress.city;headquartersAddress.postalCode;headquartersAddress.region;headquartersAddress.country;legalJurisdiction;entityCategory;validationSources;validationAuthorityID;validationAuthorityEntityID;managingLou
724500XRKTRIHFQN1394;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Hervormde gemeente te Zuidlaren;ACTIVE;RA000463;76440397;Kerkgenootschap;Kerkbrink 3;;;;Zuidlaren;9471AJ;;NL;Kerkbrink 3;;;;Zuidlaren;9471AJ;;NL;NL;;FULLY_CORROBORATED;RA000463;76440397;724500A93Z8V1MJK5349
724500ZJSXA4V1CNDK06;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Stichting Sociale Teams Helmond;ACTIVE;RA000463;84352558;Stichting;Lage Dijk 12;unit K2030;;;Helmond;5705BZ;;NL;Lage Dijk 12;unit K2030;;;Helmond;5705BZ;;NL;NL;;FULLY_CORROBORATED;RA000463;84352558;724500A93Z8V1MJK5349
724500UEKRX9TYACGG10;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;PG Acquisition Holding B.V.;ACTIVE;RA000463;83329498;Besloten Vennootschap;Oude Enghweg 24;;;;Hilversum;1217JD;;NL;Oude Enghweg 24;;;;Hilversum;1217JD;;NL;NL;;FULLY_CORROBORATED;RA000463;83329498;724500A93Z8V1MJK5349
724500HC0DRF28J22T43;27-12-2022;ISSUED;27-12-2017;27-12-2023;;;;;R. Vroom Beheer B.V.;ACTIVE;RA000463;36046774;Besloten Vennootschap;Middelie 26;;;;Middelie;1472GP;;NL;Middelie 26;;;;Middelie;1472GP;;NL;NL;;FULLY_CORROBORATED;RA000463;36046774;724500A93Z8V1MJK5349
724500DHQNKOVJL8C979;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;MD Investments B.V.;ACTIVE;RA000463;81456034;Besloten Vennootschap;Fuut 33;;;;Diemen;1111VV;;NL;Fuut 33;;;;Diemen;1111VV;;NL;NL;;FULLY_CORROBORATED;RA000463;81456034;724500A93Z8V1MJK5349
7245007CTKRIZ8I7KO56;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Sollie IT B.V.;ACTIVE;RA000463;30144070;Besloten Vennootschap;Buitenplaats 66;;;;Lelystad;8212AK;;NL;Buitenplaats 66;;;;Lelystad;8212AK;;NL;NL;;FULLY_CORROBORATED;RA000463;30144070;724500A93Z8V1MJK5349
724500LZVC0RSL9G1V52;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Allegro B.V.;ACTIVE;RA000463;83267441;Besloten Vennootschap;De Lairessestraat 100;;;;Amsterdam;1071PJ;;NL;De Lairessestraat 100;;;;Amsterdam;1071PJ;;NL;NL;;FULLY_CORROBORATED;RA000463;83267441;724500A93Z8V1MJK5349
724500ZNMWI5YCH8PJ59;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Schaub & Partners Bedrijfshuisvesting B.V.;ACTIVE;RA000463;24336396;Besloten Vennootschap;Westplein 5C;;;;Rotterdam;3016BM;;NL;Westplein 5C;;;;Rotterdam;3016BM;;NL;NL;;FULLY_CORROBORATED;RA000463;24336396;724500A93Z8V1MJK5349
724500TK3TDJBXWBZ192;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Schenkeveld Beheer B.V.;ACTIVE;RA000463;67739865;Besloten Vennootschap;Woudseweg 146;;;;Schipluiden;2636AV;;NL;Woudseweg 146;;;;Schipluiden;2636AV;;NL;NL;;FULLY_CORROBORATED;RA000463;67739865;724500A93Z8V1MJK5349
724500PCI5QILQAB6O26;27-12-2022;ISSUED;13-11-2017;27-12-2023;;;;;Beurskens Kessel Investeringen B.V.;ACTIVE;RA000463;64768481;Besloten Vennootschap;Graaf Hendrikstraat 14;;;;Kessel;5995BN;;NL;Graaf Hendrikstraat 14;;;;Kessel;5995BN;;NL;NL;;FULLY_CORROBORATED;RA000463;64768481;724500A93Z8V1MJK5349
72450095PWWWK2CKCQ74;27-12-2022;ISSUED;10-11-2017;27-12-2023;;;;;Th.B. de Boer Holding B.V.;ACTIVE;RA000463;28057440;Besloten Vennootschap;Rijndijk 144;;;;Hazerswoude-Rijndijk;2394AL;;NL;Rijndijk 144;;;;Hazerswoude-Rijndijk;2394AL;;NL;NL;;FULLY_CORROBORATED;RA000463;28057440;724500A93Z8V1MJK5349
7245003HLAF109OUQ191;27-12-2022;ISSUED;10-12-2018;27-12-2023;;;;;Sei un mito B.V.;ACTIVE;RA000463;54687330;Besloten Vennootschap;Diepenbrocklaan 12;;;;Ede;6711GN;;NL;Diepenbrocklaan 12;;;;Ede;6711GN;;NL;NL;;FULLY_CORROBORATED;RA000463;54687330;724500A93Z8V1MJK5349
724500U9X50LUQWDII53;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;Rijnmond Power Holding B.V.;ACTIVE;RA000463;64772292;Besloten Vennootschap;Herikerbergweg 238;;;;Amsterdam;1101CM;;NL;Herikerbergweg 238;;;;Amsterdam;1101CM;;NL;NL;;FULLY_CORROBORATED;RA000463;64772292;724500A93Z8V1MJK5349
724500V1IYZSR4R1TT05;27-12-2022;ISSUED;27-12-2021;27-12-2023;;;;;HeLi-InMaLu Beheer B.V.;ACTIVE;RA000463;34151167;Besloten Vennootschap;Nieuwe Manegeplein 18;;;;Haarlem;2023GG;;NL;Nieuwe Manegeplein 18;;;;Haarlem;2023GG;;NL;NL;;FULLY_CORROBORATED;RA000463;34151167;724500A93Z8V1MJK5349
724500XN6UXMVBQHXS66;27-12-2022;ISSUED;23-10-2017;27-12-2023;;;;;Nopage Holding B.V.;ACTIVE;RA000463;52712605;Besloten Vennootschap;Bongaertslaan 22;;;;Heerlen;6417BB;;NL;Bongaertslaan 22;;;;Heerlen;6417BB;;NL;NL;;FULLY_CORROBORATED;RA000463;52712605;724500A93Z8V1MJK5349
